Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS
Josh Adams,PHI,1.0,7.2,0.06,0.36,3.62,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,1.0,20.59,0.17,2.35,21.57,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Anderson,LA,1.0,15.39,0.08,0.47,5.05,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Armah,CAR,1.0,1.04,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Peyton Barber,TB,1.0,57.11,0.4,1.66,13.32,0.07,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Saquon Barkley,NYG,1.0,84.47,0.66,6.63,52.87,0.31,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kenjon Barner,CAR,1.0,4.55,0.02,0.28,1.66,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,13.58,0.07,1.28,10.83,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeGarrette Blount,DET,1.0,44.12,0.3,0.45,4.09,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,27.11,0.14,1.39,12.09,0.05,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tommy Bohanon,JAX,1.0,0.0,0.01,0.5,3.84,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Bolden,MIA,1.0,4.82,0.04,0.36,5.92,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,12.62,0.07,2.18,18.87,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
